ActualSales,PredictedSales
5.28,9.628050000000005
15.84,26.39435000000001
10.43,23.215399999999992
623.46,439.77544999999986
4.47,3.751599999999995
70.45,51.89345000000005
151.06,169.4532999999999
57.36,165.08954999999983
113.37,162.43809999999988
76.18,17.318850000000033
2.72,3.372449999999998
8.82,8.794350000000003
41.86,46.952699999999986
70.95,67.18600000000005
600.56,371.8600999999997
16.52,15.596550000000013
12.96,13.33000000000003
117.46,39.58525000000005
622.45,937.1281499999998
437.47,155.9408999999998
32.76,30.30415000000003
341.49,597.3107500000001
5443.96,1830.3536999999974
21.4,18.862099999999998
7.12,24.418499999999984
241.57,173.3531999999997
152.76,61.75719999999999
99.59,362.57739999999967
31.56,24.2604
662.88,517.6189500000005
1799.97,1000.1306500000019
10.8,24.899999999999988
194.94,94.20515000000015
38.04,59.869449999999894
158.38,132.9035
28.4,47.897849999999906
148.26,320.9157500000001
106.32,99.60849999999996
284.36,265.3117499999999
74.95,185.21439999999987
10.37,10.230149999999968
97.16,79.14985
23.84,35.270350000000036
1299.99,545.1766500000009
29.16,15.108149999999998
15.25,7.9930499999999975
217.58,138.7426499999997
29.34,21.567600000000024
799.92,244.07519999999982
8.78,6.797599999999993
61.96,46.363500000000016
35.4,29.49409999999996
115.44,57.39955
15.19,13.88360000000001
22.7,28.919350000000026
68.52,20.40630000000003
552.56,400.0634499999995
11.52,21.956949999999996
107.77,161.96634999999998
20.97,99.83524999999992
177.23,458.4773499999994
9.4,17.739850000000025
18.37,18.66784999999999
25.92,24.99090000000003
248.43,487.0988499999996
2.89,4.517499999999991
23.98,132.13165000000004
39.81,90.5696499999999
155.37,159.48344999999975
36.6,19.609900000000003
79.36,54.24010000000022
1261.33,746.6065999999992
12.96,12.738200000000015
26.98,19.5123
1038.84,866.6416499999998
19.43,30.92974999999999
43.3,15.423100000000009
41.86,29.282299999999992
102.36,113.76140000000036
1036.62,1534.3996500000003
490.32,597.0495999999987
19.44,22.500400000000017
549.98,255.27740000000045
390.27,446.3477499999998
264.32,221.6839500000004
299.97,167.21855
30.84,22.7675
46.8,90.84685000000005
26.4,32.53719999999992
13.25,15.8336
15.4,56.88769999999996
100.7,49.12424999999999
159.98,132.6589500000001
240.78,93.38894999999998
83.56,81.30975000000001
21.56,55.92904999999997
327.56,583.2025999999996
540.05,548.8200499999998
7.76,9.423899999999998
46.26,53.65199999999998
